File,Region,Date,Pollutant,Concentration_µg/m³
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-30,Particulate Matter 2.5 µg/m³,4.0495067
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-31,Particulate Matter 2.5 µg/m³,5.002688
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-01,Particulate Matter 2.5 µg/m³,4.8490644
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-02,Particulate Matter 2.5 µg/m³,7.672695
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-03,Particulate Matter 2.5 µg/m³,12.653603
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-04,Particulate Matter 2.5 µg/m³,4.6130977
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-05,Particulate Matter 2.5 µg/m³,4.839643
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-06,Particulate Matter 2.5 µg/m³,6.5563016
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-07,Particulate Matter 2.5 µg/m³,4.5206075
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-08,Particulate Matter 2.5 µg/m³,3.0430152
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-09,Particulate Matter 2.5 µg/m³,5.6788554
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-10,Particulate Matter 2.5 µg/m³,5.0455527
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-11,Particulate Matter 2.5 µg/m³,6.7496886
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-12,Particulate Matter 2.5 µg/m³,6.034716
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-13,Particulate Matter 2.5 µg/m³,5.590318
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-14,Particulate Matter 2.5 µg/m³,7.108233
